column,dtype,n_missing,pct_missing,n_unique
customer_id,int64,0,0.0,30000
limit_balance,int64,0,0.0,81
sex,int64,0,0.0,2
education,int64,0,0.0,7
marriage,int64,0,0.0,4
age,int64,0,0.0,56
pay_status_1,int64,0,0.0,11
pay_status_2,int64,0,0.0,11
pay_status_3,int64,0,0.0,11
pay_status_4,int64,0,0.0,11
pay_status_5,int64,0,0.0,10
pay_status_6,int64,0,0.0,10
bill_amount_1,int64,0,0.0,22723
bill_amount_2,int64,0,0.0,22346
bill_amount_3,int64,0,0.0,22026
bill_amount_4,int64,0,0.0,21548
bill_amount_5,int64,0,0.0,21010
bill_amount_6,int64,0,0.0,20604
pay_amount_1,int64,0,0.0,7943
pay_amount_2,int64,0,0.0,7899
pay_amount_3,int64,0,0.0,7518
pay_amount_4,int64,0,0.0,6937
pay_amount_5,int64,0,0.0,6897
pay_amount_6,int64,0,0.0,6939
default_next_month,int64,0,0.0,2
sex_label,object,0,0.0,2
education_label,object,0,0.0,5
marriage_label,object,0,0.0,4
limit_balance_outlier_flag,bool,0,0.0,2
avg_bill_amount,float64,0,0.0,27370
avg_pay_amount,float64,0,0.0,19180
payment_to_bill_ratio,float64,0,0.0,27477
num_months_delayed,int64,0,0.0,7
max_delay_months,int64,0,0.0,9
balance_trend,int64,0,0.0,21836
balance_trend_label,object,0,0.0,3
credit_utilisation,float64,0,0.0,25078
limit_tier,category,0,0.0,4
age_band,category,0,0.0,5
